id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72
14017,9,Glonass,30.4,-0.09,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14018,11,Glonass,23.8,-0.09,337,2,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14019,5,Glonass,40.2,-0.09,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14020,3,Glonass,27.4,-0.09,32,19,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14021,4,Glonass,34,-0.09,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14022,10,GPS,29.2,2.79,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14023,16,GPS,25.8,2.79,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14024,20,GPS,35.5,2.79,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14025,21,GPS,24.8,2.79,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14026,26,GPS,35.2,2.79,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14027,27,GPS,28.3,2.79,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
